Parent ID,Parent Cycle,Child ID,Child Cycle
2011 23_0023 113_1,2011,2012 23_0023 113_1,2012
2011 23_0030 5A,2011,2012 23_0030 5A,2012
2011 23_0009 101X,2011,2012 23_0009 101X,2012
2011 23_0045 5A,2011,2012 23_0045 5A,2012
2011 23_0044 5A,2011,2012 23_0044 5A,2012
2011 23_0043 5A,2011,2012 23_0043 5A,2012
2011 23_0031 5A,2011,2012 23_0031 5A,2012
2011 23_0017 20,2011,2012 23_0017 20,2012
2011 23_0008 101X,2011,2012 23_0008 101X,2012
2011 23_0017 5A,2011,2012 23_0017 5A,2012
2020_CLASS3_17_3_203,2020,2020_CLASS3_17_3_203_2021,2021
2011 25_0043 94_L,2011,2012 25_0043 94_L,2012
2016 10_0040 209,2016,2017 10_0040 209,2017
2019 24_0004 130_S,2019,2020 24_0004 130_S,2020
2016 24_0083 160,2016,2017 24_0083 160,2017
2016 10_0050 421,2016,2017 10_0050 421,2017
2018 25_0145 94,2018,2019 25_0145 94,2019
2016 06_0006 375_L2,2016,2017 06_0006 375_L2,2017
2019 23_0023 87_L4,2019,2020 23_0023 87_L4,2020
2020_CLASS3_17_3_202_S,2020,2020_CLASS3_17_3_202_S_2021,2021
2020_CLASS3_17_3_301,2020,2020_CLASS3_17_3_301_2021,2021
2021_710_23_0003_1,2022,2021_710_23_0003_1,2023
2019 21_0097 170_L2,2019,2020 21_0097 170_L2,2020
2011 25_0023_1 100X,2011,2012 25_0023 100X,2012
2011 25_0033 5B,2011,2012 25_0033 5B,2012
2011 25_0044 94,2011,2012 25_0044 94,2012
2011 24_0021 130,2011,2012 24_0021 130,2012
2011 25_0080 100X,2011,2012 25_0080 100X,2012
2011 25_0024 100X,2011,2012 25_0024 100X,2012
2011 25_0006 109,2011,2012 25_0006 109,2012
2011 25_0027 100X,2011,2012 25_0027 100X,2012
2011 25_0046 94A,2011,2012 25_0046 94A,2012
2011 25_0046 94,2011,2012 25_0046 94,2012
2011 24_0005_2 130,2011,2012 24_0005_2 130,2012
2011 25_0020 112,2011,2012 25_0020 112,2012
2011 24_0013 99,2011,2012 24_0013 99,2012
2011 25_0037 5B,2011,2012 25_0037 5B,2012
2011 25_0040 94,2011,2012 25_0040 94,2012
2011 24_0015 130,2011,2012 24_0015 130,2012
2011 24_0015 107X,2011,2012 24_0015 107X,2012
2011 24_0014 51_2,2011,2012 24_0014 51_2,2012
2011 25_0022 120,2011,2012 25_0022 120,2012
2011 25_0003 104L,2011,2012 25_0003 104L,2012
2011 25_0026 100X,2011,2012 25_0026 100X,2012
2011 25_0048 110,2011,2012 25_0048 110,2012
2011 25_0028 67,2011,2012 25_0028 67,2012
2011 25_0041 94,2011,2012 25_0041 94,2012
2011 25_0043 94,2011,2012 25_0043 94,2012
2011 25_0042 94,2011,2012 25_0042 94,2012
2011 25_0005 109,2011,2012 25_0005 109,2012
2011 25_0008 22,2011,2012 25_0008 22,2012
2011 24_0008_2 130,2011,2012 24_0008_2 130,2012
2011 24_0008_1 130,2011,2012 24_0008_1 130,2012
2011 24_0006 130,2011,2012 24_0006 130,2012
2011 24_0010_1 130,2011,2012 24_0010_1 130,2012
2011 24_0010_2 130,2011,2012 24_0010_2 130,2012
2011 25_0014 36_3,2011,2012 25_0014 36_3,2012
2011 25_0014 36_1,2011,2012 25_0014 36_1,2012
2011 24_0007 130,2011,2012 24_0007 130,2012
2011 25_0031 67,2011,2012 25_0031 67,2012
2011 25_0029 67,2011,2012 25_0029 67,2012
2018 01_0015 364,2018,2019 01_0015 364_2,2019
2018 01_0015 364,2018,2019 01_0015 364,2019
2018 25_0085 204,2018,2019 25_0085 204,2019
2018 27_0085 204,2018,2019 27_0085 204,2019
2011 25_0093 104,2011,2012 25_0093 104,2012
2020 24_0013 99_L3,2020,2021 24_0013 99_L3,2021
2018 25_0154 134_S,2018,2019 25_0154 134_S,2019
2018 25_0154 134_S,2018,2019 25_0154 134,2019
2018 25_0176 117,2018,2019 25_0176 117,2019
2018 25_0176 117,2018,2019 25_0154 117_1_L,2019
2021_CLASS3_21_55_129_2021,2021,2020_710_21_0014_129,2022
2020_CLASS3_17_3_308,2020,2020_CLASS3_17_3_308_2021,2021
2019 03_0011 328,2019,2020 03_0011 328,2020
2018 01_0159 372,2018,2019 01_0159 372,2019
2020_CLASS3_17_3_384_S,2020,2020_CLASS3_17_3_384_S_2021,2021
2020_CLASS3_17_30_383_S,2020,2020_CLASS3_17_30_383_S_2021,2021
2020_CLASS3_17_31_383_S,2020,2020_CLASS3_17_31_383_S_2021,2021
2020_CLASS3_17_32_383_S,2020,2020_CLASS3_17_32_383_S_2021,2021
2020_CLASS3_17_33_383_S,2020,2020_CLASS3_17_33_383_S_2021,2021
2011 27_0014 98X,2011,2012 27_0014 98X,2012
2020_CLASS3_17_34_383_S,2020,2020_CLASS3_17_34_383_S_2021,2021
2020_CLASS3_17_4_202_S,2020,2020_CLASS3_17_4_202_S_2021,2021
2020_CLASS3_17_4_301_S,2020,2020_CLASS3_17_4_301_S_2021,2021
2019 09_0006 379,2019,2020 09_0006 379,2020
2016 21_0034 1_S,2016,2017 21_0034 1_S1,2017
2011 26_0004 131,2011,2012 26_0004 131,2012
2018 27_0246 205,2018,2019 27_0246 205,2019
2011 25_0079 100X,2011,2012 25_0079 100X,2012
2020 01_0161 402,2020,2021 01_0171 402,2021
2011 25_0082 100X,2011,2012 25_0082 100X,2012
2011 27_0001 14,2011,2012 27_0001 14,2012
2020_CLASS3_17_4_307,2020,2020_CLASS3_17_4_307_2021,2021
2020_CLASS3_17_4_308,2020,2020_CLASS3_17_4_308_2021,2021
2011 27_0007 79,2011,2012 27_0007 79,2012
2011 26_0010 110,2011,2012 26_0010 110,2012
2011 26_0001 131,2011,2012 26_0001 131,2012
2011 26_0006 131,2011,2012 26_0006 131,2012
2011 27_0008 24_2,2011,2012 27_0008 24_2,2012
2011 27_0008 24_1,2011,2012 27_0008 24_1,2012
2011 27_0015 60,2011,2012 27_0015 60,2012
2011 26_0009 110,2011,2012 26_0009 110,2012
2011 25_0073 94,2011,2012 25_0073 94,2012
2011 25_0072 94,2011,2012 25_0072 94,2012
2011 27_0007 24_2,2011,2012 27_0007 24_2,2012
2011 27_0041 6L,2011,2012 27_0041 6L,2012
2011 27_0004 24,2011,2012 27_0004 24,2012
2011 27_0013 60,2011,2012 27_0013 60,2012
2011 27_0003 42L,2011,2012 27_0003 42L,2012
2011 27_0003 42,2011,2012 27_0003 42,2012
2011 26_0012 110,2011,2012 26_0012 110,2012
2011 26_0036 E2,2011,2012 26_0036 E2,2012
2011 25_0081 100X,2011,2012 25_0081 100X,2012
2011 25_0083 100X,2011,2012 25_0083 100X,2012
2011 27_0016 98X,2011,2012 27_0016 98X,2012
2011 27_0006 24,2011,2012 27_0006 24,2012
2020_MCA_22_0032_129_2021,2021,2020_710_22_0002_129,2022
2011 27_0117 93,2011,2012 27_0117 93,2012
2011 27_0126 E1,2011,2012 27_0126 E1,2012
2011 27_0018 40,2011,2012 27_0018 40,2012
2019 24_0109 130,2019,2020 24_0109 130,2020
2020 01_0008 207_S,2020,2021 01_0008 207_S,2021
2020 24_0037 204,2020,2021 24_0037 204,2021
2020_CLASS3_17_5_202_S,2020,2020_CLASS3_17_5_202_S_2021,2021
2020_CLASS3_17_5_301_S,2020,2020_CLASS3_17_5_301_S_2021,2021
2020_CLASS3_17_5_203,2020,2020_CLASS3_17_5_203_2021,2021
2020 31_0017 208,2020,2021 31_0017 208,2021
2020_CLASS3_17_6_202_S,2020,2020_CLASS3_17_6_202_S_2021,2021
2011 27_0109 43,2011,2012 27_0109 43,2012
2020_CLASS3_17_6_301_S,2020,2020_CLASS3_17_6_301_S_2021,2021
2020_CLASS3_17_6_308,2020,2020_CLASS3_17_6_308_2021,2021
2011 27_0093 E2,2011,2012 27_0093 E2,2012
2011 31_0001 E1,2011,2012 31_0001 E1,2012
2020 27_0106 205,2020,2021 27_0106 205,2021
2011 27_0095 E2,2011,2012 27_0095 E2,2012
2011 27_0108 E2_1,2011,2012 27_0108 E2_1,2012
2011 27_0082 E2,2011,2012 27_0082 E2,2012
2011 27_0051 E2,2011,2012 27_0051 E2,2012
2020_CLASS3_17_7_202_S,2020,2020_CLASS3_17_7_202_S_2021,2021
2020_CLASS3_17_7_301_S,2020,2020_CLASS3_17_7_301_S_2021,2021
2020_CLASS3_17_7_308_S,2020,2020_CLASS3_17_7_308_S_2021,2021
2011 27_0023 121,2011,2012 27_0023 121,2012
2011 27_0080 E2,2011,2012 27_0080 E2,2012
2020_CLASS3_17_7_383_S,2020,2020_CLASS3_17_7_383_S_2021,2021
2020_CLASS3_17_8_202_S,2020,2020_CLASS3_17_8_202_S_2021,2021
2004_OH_005_AA00_2019,2019,2004_OH_005_AA00_2020,2020
2011 27_0035 E2_1,2011,2012 27_0035 E2_1,2012
2011 27_0091 E2,2011,2012 27_0091 E2,2012
2011 27_0094 E2,2011,2012 27_0094 E2,2012
2011 27_0079 E2,2011,2012 27_0079 E2,2012
2011 27_0025 121,2011,2012 27_0025 121,2012
2011 27_0026 121,2011,2012 27_0026 121,2012
2011 27_0028 121,2011,2012 27_0028 121,2012
2011 27_0041 6,2011,2012 27_0041 6,2012
2011 27_0017 12,2011,2012 27_0017 12,2012
2011 27_0019 40,2011,2012 27_0019 40,2012
2011 27_0022 121,2011,2012 27_0022 121,2012
2011 27_0027 121,2011,2012 27_0027 121,2012
2011 27_0085 E2,2011,2012 27_0085 E2,2012
2011 27_0038 121,2011,2012 27_0038 121,2012
2007 01_0001 Ac,2007,2011 01_0001 Ac,2011
2011 27_0092 E2,2011,2012 27_0092 E2,2012
2011 27_0037 121,2011,2012 27_0037 121,2012
2011 27_0110 43,2011,2012 27_0110 43,2012
2011 27_0087 E2,2011,2012 27_0087 E2,2012
2011 27_0021 74,2011,2012 27_0021 74,2012
2007 01_0003 Ce,2007,2011 01_0003 Ce_L,2011
2011 31_0124 E1,2011,2012 31_0124 E1,2012
2007 01_0004 Bh_2,2007,2011 01_0004 Bh_L,2011
2007 01_0003 Bh_6,2007,2011 01_0003 Bh_L4,2011
2007 01_0018 Be,2007,2011 01_0018 Be,2011
2007 01_0013 Bh,2007,2011 01_0013 Bh,2011
2007 01_0014 Bh_2,2007,2011 01_0014 Bh_L,2011
2020_CLASS3_17_8_301_S,2020,2020_CLASS3_17_8_301_S_2021,2021
2020_MCA_21_0029_129_2021,2021,2020_710_21_0017_129,2022
2020_MCA_21_0028_129_2021,2021,2020_710_21_0016_129,2022
2020_CLASS3_17_9_301_S,2020,2020_CLASS3_17_9_301_S_2021,2021
2020_CLASS3_17_8_383_S,2020,2020_CLASS3_17_8_383_S_2021,2021
2011 31_0033 E1,2011,2012 31_0033 E1,2012
2020_CLASS3_17_8_384_S,2020,2020_CLASS3_17_8_384_S_2021,2021
2007 01_0003 Bh_1,2007,2011 01_0003 Bh,2011
2020_CLASS3_17_9_202_S,2020,2020_CLASS3_17_9_202_S_2021,2021
2020 27_0080 204,2020,2021 27_0080 204,2021
2011 31_0037 E1,2011,2012 31_0037 E1,2012
2011 31_0022 E1,2011,2012 31_0022 E1,2012
2011 31_0082 E1,2011,2012 31_0082 E1,2012
2020_CLASS3_17_9_308_S,2020,2020_CLASS3_17_9_308_S_2021,2021
2020_CLASS3_17_9_383_S,2020,2020_CLASS3_17_9_383_S_2021,2021
2020_CLASS3_26_1_026,2020,2020_CLASS3_26_1_026_2021,2021
2020_CLASS3_26_1_242,2020,2020_CLASS3_26_1_242_2021,2021
2011 31_0020 E1,2011,2012 31_0020 E1,2012
2020_CLASS3_26_1_147_L,2020,2020_CLASS3_26_1_147_L_2021,2021
2020_CLASS3_26_1_110,2020,2020_CLASS3_26_1_110_2021,2021
2020_MCA_21_0026_129_2021,2021,2020_710_21_0015_129,2022
2011 31_0002 E1,2011,2012 31_0002 E1,2012
2011 31_0021 E1,2011,2012 31_0021 E1,2012
2011 31_0011 E1,2011,2012 31_0011 E1,2012
2011 31_0074 E1,2011,2012 31_0074 E1,2012
2011 31_0026 E1,2011,2012 31_0026 E1,2012
2011 31_0017 E1,2011,2012 31_0017 E1,2012
2011 31_0028 E1,2011,2012 31_0028 E1,2012
2020 21_0028 129,2020,2021 21_0028 129,2021
2011 31_0031 E1,2011,2012 31_0031 E1,2012
2011 31_0005 E1,2011,2012 31_0005 E1,2012
2011 31_0009 E1,2011,2012 31_0009 E1,2012
2011 31_0086 E1,2011,2012 31_0086 E1,2012
2011 31_0075 E1,2011,2012 31_0075 E1,2012
2011 31_0077 E1,2011,2012 31_0077 E1,2012
2011 31_0010 E1,2011,2012 31_0010 E1,2012
2007 01_0003 Bh_2,2007,2011 01_0003 Bh,2011
2011 31_0067 E2_1,2011,2012 31_0067 E2_1,2012
2007 01_0002 Aj,2007,2011 01_0002 Aj,2011
2007 01_0002 Ab_1,2007,2011 01_0002 Ab,2011
2007 01_0001 Aj,2007,2011 01_0001 Aj,2011
2011 31_0071 E1,2011,2012 31_0071 E1,2012
2011 31_0083 E1,2011,2012 31_0083 E1,2012
2011 31_0081 E1,2011,2012 31_0081 E1,2012
2011 31_0003 E1,2011,2012 31_0003 E1,2012
2011 31_0068 E2_1,2011,2012 31_0068 E2_1,2012
2011 31_0036 E1,2011,2012 31_0036 E1,2012
2007 01_0046 Bh_1,2007,2011 01_0046 Bh,2011
2007 02_0003 Aa_2,2007,2011 02_0003 Aa_L1,2011
2007 02_0003 Aa_4,2007,2011 02_0003 Aa_L3,2011
2007 02_0003 Ae_7,2007,2011 02_0003 Ae_L6,2011
2007 02_0003 Aa_5,2007,2011 02_0003 Aa_L4,2011
2007 02_0003 Ae_3,2007,2011 02_0003 Ae_L2,2011
2007 02_0003 Ad,2007,2011 02_0003 Ad,2011
2007 01_0041 Ab,2007,2011 01_0041 Ab,2011
2007 01_0014 Bm,2007,2011 01_0014 Bm,2011
2007 02_0003 Ae_2,2007,2011 02_0003 Ae,2011
2007 01_0022 Bj,2007,2011 01_0022 Bi,2011
2007 02_0003 Ae_4,2007,2011 02_0003 Ae_L3,2011
2007 02_0003 Ae_1,2007,2011 02_0003 Ae_L1,2011
2007 01_0007 Dd_2,2007,2011 01_0007 Dd_2,2011
2007 01_0017 Bo_2,2007,2011 01_0017 Bo_L,2011
2007 01_0009 Ae,2007,2011 01_0009 Ae_L,2011
2007 01_0009 Bi_2,2007,2011 01_0009 Bi_L,2011
2007 01_0013 Ga_2,2007,2011 01_0013 Ga,2011
2016 07_0013A 378,2016,2017 07_0001C,2017
2007 01_0028 Dd_1,2007,2011 01_0028 Dd,2011
2020_CLASS3_26_13_110,2020,2020_CLASS3_26_13_110_2021,2021
2020_CLASS3_26_1_424_S,2020,2020_CLASS3_26_1_424_S_2021,2021
2020_CLASS3_26_1_424_S,2020,2020_710_26_0034_424_S,2023
2020_CLASS3_26_10_243,2020,2020_CLASS3_26_10_243_01_2021,2021
2020_CLASS3_26_11_110,2020,2021_710_26_0024_110,2023
2020_CLASS3_26_12_110,2020,2020_CLASS3_26_12_110_2021,2021
2020_CLASS3_26_12_243,2020,2020_CLASS3_26_12_243_2021,2021
2007 01_0015 Bk,2007,2011 01_0015 Bk,2011
2020_CLASS3_26_15_110,2020,2020_CLASS3_26_15_110_2021,2021
2020_CLASS3_26_13_243,2020,2020_CLASS3_26_13_243_2021,2021
2007 01_0008 Bi,2007,2011 01_0008 Bi,2011
2007 01_0011 Bi,2007,2011 01_0011 Bi,2011
2007 01_0007 Bk,2007,2011 01_0007 Bk,2011
2020_CLASS3_26_16_110,2020,2020_CLASS3_26_16_110_2021,2021
2020_CLASS3_26_17_110_L,2020,2020_CLASS3_26_17_110_L_2021,2021
2007 01_0005 Bj,2007,2011 01_0005 Bj,2011
2020 21_0034 129_2,2020,2021 21_0034 129_2,2021
2007 01_0004 Bh_1,2007,2011 01_0004 Bh,2011
2007 01_0012 Bc,2007,2011 01_0012 Bc,2011
2007 01_0018 Bj,2007,2011 01_0018 Bj,2011
2007 01_0013 Bi,2007,2011 01_0013 Bi,2011
2007 01_0017 Bo_1,2007,2011 01_0017 Bo,2011
2007 01_0009 Bi_1,2007,2011 01_0009 Bi,2011
2007 01_0021 Bk,2007,2011 01_0021 Bk,2011
2007 01_0019 Bj,2007,2011 01_0019 Bj,2011
2007 01_0010 Bh,2007,2011 01_0010 Bh,2011
2007 01_0028 Dd_2,2007,2011 01_0028 Dd,2011
2020_CLASS3_26_2_395,2020,2020_CLASS3_26_2_395_2021,2021
2007 04_0003 Ba_2,2007,2011 04_0003 Ba_L,2011
2007 03_0006 Cb_4,2007,2011 03_0006 Cb_L1,2011
2007 01_0054 Ga_1,2007,2011 01_0054 Ga,2011
2007 04_0016 Ha_2,2007,2011 04_0016 Ha_L1,2011
2007 04_0003 Ba_1,2007,2011 04_0003 Ba,2011
2007 04_0003 Bb,2007,2011 04_0003 Bb,2011
2020_CLASS3_26_18_243,2020,2020_CLASS3_26_18_243_2021,2021
2007 04_0004 Bb,2007,2011 04_0004 Bb,2011
2007 02_0003 Aa_1,2007,2011 02_0003 Aa,2011
2007 04_0011 Ba_1,2007,2011 04_0011 Ba,2011
2007 04_0010 Ba_1,2007,2011 04_0010 Ba,2011
2020_CLASS3_26_19_204,2020,2020_CLASS3_26_19_204_01_2021,2021
2020_CLASS3_26_19_204,2020,2020_CLASS3_26_19_204_02_2021,2021
2020_CLASS3_26_2_026,2020,2020_CLASS3_26_2_026_2021,2021
2020_CLASS3_26_2_110,2020,2020_CLASS3_26_2_110_02_2021,2021
2020_CLASS3_26_2_110,2020,2020_CLASS3_26_2_110_01_2021,2021
2007 03_0004 Ca,2007,2011 03_0004 Ca,2011
2007 04_0008 Bg_2,2007,2011 04_0008 Bg,2011
2007 02_0021_1 Ha,2007,2011 02_0021 Ha,2011
2007 02_0008 Ac_2,2007,2011 02_0008 Ac_2,2011
2007 03_0003 Ca,2007,2011 03_0003 Ca,2011
2020_CLASS3_26_2_242,2020,2020_CLASS3_26_2_242_2021,2021
2020_CLASS3_26_20_110_S,2020,2020_CLASS3_26_20_110_S_2021,2021
2020_CLASS3_26_20_243_L,2020,2020_CLASS3_26_20_243_L_2021,2021
2007 02_0006 Ac_1,2007,2011 02_0006 Ac,2011
2007 02_0006 Ai,2007,2011 02_0006 Ai_L,2011
2007 02_0021_2 Ha_2,2007,2011 02_0021_2 Ha_L,2011
2007 02_0021_2 Ha_1,2007,2011 02_0021 Ha,2011
2007 03_0008_1 Ea_1,2007,2011 03_0008_1 Ea_1,2011
2007 03_0006 Cb_3,2007,2011 03_0006 Cb,2011
2007 03_0006 Cb_2,2007,2011 03_0006 Cb,2011
2007 03_0012 Ea_1,2007,2011 03_0012 Ea_1,2011
2007 04_0001 Ab,2007,2011 04_0001 Ab,2011
2007 04_0001 Ac,2007,2011 04_0001 Ac,2011
2007 02_0025 Aa,2007,2011 02_0001 Aa,2011
2007 02_0026 Ac,2007,2011 02_0026 Ac,2011
2007 02_0001 Aa_1,2007,2011 02_0001 Aa,2011
2007 03_0005 Ca,2007,2011 03_0005 Ca,2011
2007 02_0008 Ac_1,2007,2011 02_0008 Ac_1,2011
2007 02_0008 Ac_3,2007,2011 02_0008 Ac_L,2011
2007 03_0011 Cc,2007,2011 03_0011 Cc,2011
2007 02_0024 Ha,2007,2011 02_0024 Ha,2011
2007 02_0002 Aa,2007,2011 02_0002 Aa,2011
2007 03_0001 Ac,2007,2011 03_0001 Ac,2011
2007 03_0001 Aa,2007,2011 03_0001 Aa,2011
2007 04_0011 Ba_2,2007,2011 04_0011 Ba,2011
2007 02_0019 Ha,2007,2011 02_0019 Ha,2011
2007 04_0014 Ha_2,2007,2011 04_0014 Ha_2,2011
2007 02_0005 Ac,2007,2011 02_0005 Ac,2011
2007 02_0009 Ac_1,2007,2011 02_0009 Ac_1,2011
2007 03_0008_1 Cc,2007,2011 03_0008_1 Cc,2011
2007 03_0008_1 Ea_2,2007,2011 03_0008_1 Ea_2,2011
2007 05_0007 Ai,2007,2011 05_0007 Ai,2011
2020_MCA_21_0023_129_3_2021,2021,2020_710_21_0013_129,2022
2007 31_0124 E1,2007,2011 31_0124 E1,2011
2020_CLASS3_26_21_204,2020,2020_CLASS3_26_21_204_03_2021,2021
2020_CLASS3_26_21_204,2020,2020_CLASS3_26_21_204_02_2021,2021
2020_CLASS3_26_21_204,2020,2020_CLASS3_26_21_204_04_2021,2021
2020_CLASS3_26_21_204,2020,2020_CLASS3_26_21_204_01_2021,2021
2020 21_0095 129,2020,2021 21_0095 129,2021
2007 06_0006 Ba_2,2007,2011 06_0006 Ba_L,2011
2007 04_0010 Ba_3,2007,2011 04_0010 Ba_L2,2011
2007 04_0010 Ba_2,2007,2011 04_0010 Ba_L1,2011
2007 05_0006 Af,2007,2011 05_0006 Af,2011
2007 06_0006 Bb_1,2007,2011 06_0006 Bb,2011
2007 06_0006 Bb_2,2007,2011 06_0006 Bb_L,2011
2007 07_0029_1 Ba_1,2007,2011 07_0029_1 Ba,2011
2007 07_0001_2 Af,2007,2011 07_0001 Af_2,2011
2007 05_0007 Af_1,2007,2011 05_0007 Af,2011
2007 05_0002 Ab_1,2007,2011 05_0002 Ab_1,2011
2007 04_0008 Ba_2,2007,2011 04_0008 Ba,2011
2007 05_0002 Ab_2,2007,2011 05_0002 Ab_2,2011
2007 05_0004 Ac_1,2007,2011 05_0004 Ac,2011
2007 07_0027_1 Ba_2,2007,2011 07_0027 Ba,2011
2007 04_0009 Ba_1,2007,2011 04_0009 Ba,2011
2007 07_0001_3 Ag,2007,2011 07_0001 Ag_2,2011
2007 07_0001_1 Ag,2007,2011 07_0001 Ag_2,2011
2007 06_0001 Dc_1,2007,2011 06_0001 Dc_1,2011
2007 06_0001 Dc_2,2007,2011 06_0001 Dc_2,2011
2007 04_0008 Bg_1,2007,2011 04_0008 Bg,2011
2007 04_0006 Ha,2007,2011 04_0006 Ha,2011
2007 07_0027_2 Bl,2007,2011 07_0027 Bl,2011
2007 07_0027_1 Ba_1,2007,2011 07_0027 Ba,2011
2007 07_0027_2 Ba,2007,2011 07_0027 Ba,2011
2007 07_0027_1 Ba_4,2007,2011 07_0027 Ba_L,2011
2007 07_0027_1 Bl_1,2007,2011 07_0027 Bl,2011
2007 05_0005 Ac,2007,2011 05_0005 Ac,2011
2007 06_0002 Dc,2007,2011 06_0002 Dc,2011
2007 04_0015 Hc_2,2007,2011 04_0015 Hc_2,2011
2007 04_0015 Ha_1,2007,2011 04_0015 Ha,2011
2007 05_0007 Af_2,2007,2011 05_0007 Af,2011
2007 06_0004 Bb,2007,2011 06_0004 Bb,2011
2007 04_0016 Ha_1,2007,2011 04_0016 Ha,2011
2007 07_0007 Ag_1,2007,2011 07_0007 Ag,2011
2007 07_0007 Ad_2,2007,2011 07_0007 Ad,2011
2007 04_0006 Bg_1,2007,2011 04_0006 Bg,2011
2007 06_0006 Dd_2,2007,2011 06_0006 Dd_L2,2011
2007 06_0006 Dd_1,2007,2011 06_0006 Dd_L1,2011
2007 06_0006 Ba_1,2007,2011 06_0006 Ba,2011
2007 05_0002 An,2007,2011 05_0002 An,2011
2007 05_0002 Aa,2007,2011 05_0002 Aa,2011
2007 07_0001_2 Aa_1,2007,2011 07_0001_2 Aa_1,2011
2007 07_0001_2 Aa_2,2007,2011 07_0001 Aa_2,2011
2007 07_0001_2 Ad_1,2007,2011 07_0001 Ad_2,2011
2007 07_0013_1 Aa,2007,2011 07_0013_1 Aa,2011
2007 07_0013_2 Aa,2007,2011 07_0013_2 Aa,2011
2007 07_0013_2 Ae,2007,2011 07_0013_2 Ae,2011
2007 07_0013_1 Ae,2007,2011 07_0013_1 Ae,2011
2007 07_0013_1 Ad,2007,2011 07_0013_1 Ad,2011
2007 07_0027_1 Be_2,2007,2011 07_0027 Be_L,2011
2020_MCA_22_0038_129_2021,2021,2020_710_22_0008_129,2022
2015 27_0126 208,2015,2016 27_0126 208,2016
2018 27_0218 205,2018,2019 27_0218 205,2019
2007 07_0039 Bk,2007,2011 07_0039 Bk,2011
2007 07_0019 Bb,2007,2011 07_0019 Bb,2011
2007 07_0029_2 Ba_3,2007,2011 07_0029_2 Ba_L1,2011
2007 07_0029_2 Ba_7,2007,2011 07_0029_2 Ba_L5,2011
2007 08_0001 Aa,2007,2011 08_0001 Aa,2011
2007 07_0029_2 Ba_10,2007,2011 07_0029_2 Ba_L8,2011
2007 07_0029_1 Bl,2007,2011 07_0029_1 Bl,2011
2007 07_0029_1 Ba_2,2007,2011 07_0029_1 Ba_L,2011
2007 07_0029_2 Ba_9,2007,2011 07_0029_2 Ba_L7,2011
2007 07_0029_2 Ba_8,2007,2011 07_0029_2 Ba_L6,2011
2007 07_0029_2 Bg_1,2007,2011 07_0029_2 Bg_1,2011
2007 07_0029_2 Ba_1,2007,2011 07_0029_2 Ba_1,2011
2007 07_0029_2 Ba_6,2007,2011 07_0029_2 Ba_L4,2011
2007 07_0029_2 Bl_2,2007,2011 07_0029_2 Bl_2,2011
2007 07_0029_2 Ba_5,2007,2011 07_0029_2 Ba_L3,2011
2007 07_0029_2 Ba_11,2007,2011 07_0029_2 Ba_L9,2011
2007 08_0003 Fa,2007,2011 08_0003 Fa,2011
2007 07_0039 Bj_7,2007,2011 07_0039 Bj_L6,2011
2007 07_0019 Ia,2007,2011 07_0019 Ia,2011
2007 07_0019 Ba_1,2007,2011 07_0019 Ba,2011
2007 07_0019 Ba_2,2007,2011 07_0019 Ba_L1,2011
2007 08_0001 Ab,2007,2011 08_0001 Ab,2011
2007 07_0033 Bf,2007,2011 07_0033 Bf,2011
2007 07_0025_1 Be_2,2007,2011 07_0025 Be_L,2011
2007 07_0025_1 Be_1,2007,2011 07_0025 Be,2011
2007 07_0016 Ac_2,2007,2011 07_0016 Ac_L,2011
2007 07_0016 Aa,2007,2011 07_0016 Aa,2011
2007 09_0007 Cc_1,2007,2011 09_0007 Cc,2011
2007 09_0007 Cc_2,2007,2011 09_0007 Cc_L1,2011
2007 07_0039 Bj_4,2007,2011 07_0039 Bj_L3,2011
2007 07_0029_2 Bh_2,2007,2011 07_0029_2 Bh_L,2011
2007 07_0033 Ba_2,2007,2011 07_0033 Ba_L1,2011
2007 07_0007 Ad_1,2007,2011 07_0007 Ad,2011
2007 07_0007 Aa_2,2007,2011 07_0007 Aa,2011
2007 07_0039 Bj_3,2007,2011 07_0039 Bj_L2,2011
2007 07_0010 Ad,2007,2011 07_0010 Ad,2011
2007 07_0010 Ag,2007,2011 07_0010 Ag,2011
2007 07_0029_2 Bh_1,2007,2011 07_0029_2 Bh,2011
2007 07_0029_2 Ba_2,2007,2011 07_0029_2 Ba_2,2011
2007 07_0029_2 Bj_2,2007,2011 07_0029_2 Bj_2,2011
2007 07_0029_2 Bj_1,2007,2011 07_0029_2 Bj_1,2011
2007 07_0039 Bj_2,2007,2011 07_0039 Bj_L1,2011
2007 07_0033 Bl_2,2007,2011 07_0033 Bl_2,2011
2007 07_0033 Bl_1,2007,2011 07_0033 Bl_1,2011
2007 07_0033 Ba_3,2007,2011 07_0033 Ba_L2,2011
2007 07_0039 Bj_5,2007,2011 07_0039 Bj_L4,2011
2007 07_0023 Ba_1,2007,2011 07_0023 Ba,2011
2007 07_0023 Ba_2,2007,2011 07_0023 Ba_L,2011
2007 07_0023 Be,2007,2011 07_0023 Be,2011
2007 07_0001_2 Ai,2007,2011 07_0001 Ai,2011
2007 07_0035 Bl,2007,2011 07_0035 Bl,2011
2007 07_0039 Bj_6,2007,2011 07_0039 Bj_L5,2011
2007 09_0001 Ab,2007,2011 09_0001 Ab,2011
2007 07_0037 Bj,2007,2011 07_0037 Bj,2011
2007 21_0039 1B,2007,2011 21_0039 1B,2011
2007 21_0039 1,2007,2011 21_0039 1,2011
