Parent ID,Parent Cycle,Child ID,Child Cycle
2020_CLASS3_08_8_346_S,2020,2020_CLASS3_08_8_346_S_2021,2021
2017 21_0032 1_L,2017,2018 21_0032 1_L,2018
2017 01_0052 207,2017,2018 01_0052 207,2018
2017 11_0059 294,2017,2018 11_0059 294,2018
2020_CLASS3_08_8_347_S,2020,2020_CLASS3_08_8_347_S_2021,2021
2020_CLASS3_08_9_346_S,2020,2020_CLASS3_08_9_346_S_2021,2021
2017 26_0057 171,2017,2018 26_0057 171,2018
2020_710_31_0041_208,2022,2020_710_31_0041_208,2023
2016 24_0013 99_L1,2016,2017 24_0013 99_L1,2017
2017 31_1001 208-1868_L,2017,2018 31_0246 208_L,2018
2017 07_0083 388_L2,2017,2018 07_0083 388_L2,2018
2020_CLASS3_05_36_200_S,2020,2020_CLASS3_05_36_200_S_2021,2021
2017 26_0032 26_2_L,2017,2018 26_0032 26_2_L,2018
2020_CLASS3_05_37_200_L,2020,2020_CLASS3_05_37_200_L_2021,2021
2020 05_0012 200,2020,2021 05_0012 200,2021
2017 01_0003 364_L4,2017,2018 01_0003 364_L4,2018
2017 11_1005 423,2017,2018 11_0091 423,2018
2017 21_0034 1,2017,2018 21_0034 1,2018
2017 31_0089 208_S,2017,2018 31_0089 208_S,2018
2017 25_0155 161,2017,2018 25_0155 161,2018
2017 25_0040 161,2017,2018 25_0040 161,2018
2017 27_0214 424,2017,2018 27_0214 424,2018
2017 11_1004 423,2017,2018 11_0090 423,2018
2017 01_1002 402,2017,2018 01_0138 402,2018
2017 23_0051 2_L5,2017,2018 23_0051 2_L5,2018
2017 02_0055 200,2017,2018 02_0055 200,2018
2017 11_0051 294,2017,2018 11_0051 294,2018
2018 26_0083 204,2018,2019 26_0083 204,2019
2018 27_0095 204,2018,2019 27_0095 204,2019
2017 01_0008 207_3,2017,2018 01_0008 207_3,2018
2017 02_0042 200_5,2017,2018 02_0042 200_5,2018
2017 26_0035 204,2017,2018 26_0035 204,2018
2017 01_0015 364,2017,2018 01_0015 364,2018
2017 27_0106 205,2017,2018 27_0106 205,2018
2017 27_1001 204,2017,2018 27_0230 204,2018
2017 21_0032 1_3,2017,2018 21_0032 1_3,2018
2017 24_0044 204,2017,2018 24_0044 204,2018
2017 27_0097 204,2017,2018 27_0097 204,2018
2017 27_0095 204,2017,2018 27_0095 204,2018
2019 25_0158 67,2019,2020 25_0158 67,2020
2017 27_0082 204,2017,2018 27_0082 204,2018
2017 27_0051 204,2017,2018 27_0051 204,2018
2017 27_0098 204,2017,2018 27_0098 204,2018
2017 01_0058 207,2017,2018 01_0058 207,2018
2017 23_0031 5_S,2017,2018 23_0031 5_S,2018
2017 27_0080 204,2017,2018 27_0080 204,2018
2017 22_0040 129_1,2017,2018 22_0040 129_1,2018
2017 01_0053 207,2017,2018 01_0053 207,2018
2017 31_0149 205,2017,2018 31_0149 205,2018
2017 09_0007 379_L5,2017,2018 09_0007 379_L5,2018
2020_CLASS3_05_45_200_S,2020,2020_CLASS3_05_45_200_S_2021,2021
2020_CLASS3_05_46_200_S,2020,2020_CLASS3_05_46_200_S_2021,2021
2020_CLASS3_05_51_200_S,2020,2020_CLASS3_05_51_200_S_2021,2021
2020_CLASS3_05_55_200_S,2020,2020_CLASS3_05_55_200_S_2021,2021
2020_CLASS3_05_56_200_S,2020,2020_CLASS3_05_56_200_S_2021,2021
2020_710_03_0007_328_S2,2022,2020_710_03_0007_328_S2,2023
2019 23_0120 165,2019,2020 23_0120 165,2020
2020_CLASS3_01_1_207_S,2020,2020_CLASS3_01_1_207_S_2021,2021
2020_CLASS3_01_1_207_S,2020,2020_710_01_0049_207_S1,2023
2017 01_1001 402,2017,2018 01_0142 402,2018
2020_CLASS3_05_6_200,2020,2020_CLASS3_05_6_200_02_2021,2021
2020_CLASS3_05_6_200,2020,2020_CLASS3_05_6_200_01_2021,2021
2020_CLASS3_01_1_259,2020,2020_CLASS3_01_1_259_2021,2021
2020_CLASS3_01_1_260,2020,2020_CLASS3_01_1_260_2021,2021
2020_CLASS3_01_1_364,2020,2020_CLASS3_01_1_364_2021,2021
2020_CLASS3_01_1_368,2020,2020_CLASS3_01_1_368_2021,2021
2020_CLASS3_01_1_369,2020,2020_CLASS3_01_1_369_2021,2021
2020_CLASS3_05_7_200,2020,2020_CLASS3_05_7_200_2021,2021
2017 27_1001 53_LR,2017,2018 27_0235 53_LR,2018
2017 17_0103 383_S,2017,2018 17_0103 383_S,2018
2017 11_1002 423,2017,2018 11_0087 423,2018
2017 21_0034 1_S2,2017,2018 21_0034 1_S2,2018
2017 27_1001 53,2017,2018 27_0235 53,2018
2017 01_1002 402_S,2017,2018 01_0138 402_S,2018
2017 27_0129 424,2017,2018 27_0129 424,2018
2017 01_0124 260_S,2017,2018 01_0124 260_S,2018
2018 27_0082 204,2018,2019 27_0082 204,2019
2017 24_0041 204,2017,2018 24_0041 204,2018
2017 01_0057 402,2017,2018 01_0057 402,2018
2017 27_0035 205,2017,2018 27_0035 205,2018
2017 24_0034 204,2017,2018 24_0034 204,2018
2017 27_0094 204,2017,2018 27_0094 204,2018
2018 27_0051 204,2018,2019 27_0051 204,2019
2017 27_0079 204,2017,2018 27_0079 204,2018
2017 27_0099 204,2017,2018 27_0099 204,2018
2017 27_0096 204,2017,2018 27_0096 204,2018
2017 31_0067 205,2017,2018 31_0067 205,2018
2017 24_0037 204,2017,2018 24_0037 204,2018
2017 27_0085 204,2017,2018 27_0085 204,2018
2017 25_0085 204,2017,2018 25_0085 204,2018
2017 26_0036 204,2017,2018 26_0036 204,2018
2017 27_0087 204,2017,2018 27_0087 204,2018
2018 27_0079 204,2018,2019 27_0079 204,2019
2017 31_0068 205,2017,2018 31_0068 205,2018
2017 01_0127 402,2017,2018 01_0127 402,2018
2017 22_0040 129_1_LR,2017,2018 22_0040 129_1_LR,2018
2016 11_0021 294,2016,2017 11_0021 294,2017
2020 23_0145 7,2020,2021 23_0145 7,2021
2020_CLASS3_01_1_370,2020,2020_CLASS3_01_1_370_2021,2021
2020_CLASS3_01_1_371,2020,2020_CLASS3_01_1_371_03_2021,2021
2020_CLASS3_01_1_371,2020,2020_CLASS3_01_1_371_02_2021,2021
2020_CLASS3_01_1_371,2020,2020_CLASS3_01_1_371_01_2021,2021
2020_CLASS3_01_1_371,2020,2020_CLASS3_01_1_371_04_2021,2021
2020_CLASS3_01_1_372,2020,2020_CLASS3_01_1_372_2021,2021
2017 21_1001 207,2017,2018 01_0136 207,2018
2017 05_0012 200,2017,2018 05_0012 200,2018
2020_CLASS3_01_1_373_L,2020,2020_CLASS3_01_1_373_L_2021,2021
2020_CLASS3_01_1_402,2020,2020_CLASS3_01_1_402_2021,2021
2020_CLASS3_01_10_207_S,2020,2020_CLASS3_01_10_207_S_2021,2021
2020_CLASS3_01_10_207_S,2020,2020_710_01_0049_207_S1,2023
2020_CLASS3_01_10_207_S,2020,2020_710_01_0049_207_S2,2023
2017 06_0006 375_L3,2017,2018 06_0006 375_L3,2018
2017 05_0003 200_S2,2017,2018 05_0003 200_S2,2018
2020_CLASS3_01_10_257_S,2020,2020_CLASS3_01_10_257_S_2021,2021
2020_CLASS3_01_10_260_S,2020,2020_CLASS3_01_10_260_S_2021,2021
2017 27_0219 208,2017,2018 27_0219 208,2018
2020_CLASS3_01_10_364,2020,2020_CLASS3_01_10_364_2021,2021
2017 25_0133 235_S,2017,2018 25_0133 235_S,2018
2017 27_1001 78-5158_LR,2017,2018 27_0237 78_LR,2018
2017 26_0006 171,2017,2018 26_0006 171,2018
2017 26_0022 243,2017,2018 26_0087 243,2018
2017 26_0022 243,2017,2018 26_0086 243,2018
2017 27_0217 424,2017,2018 27_0217 424,2018
2017 07_0083 388_L1,2017,2018 07_0083 388_L1,2018
2017 03_0005 328_L,2017,2018 03_0005 328_L,2018
2017 01_0003 364_L5,2017,2018 01_0003 364_L5,2018
2017 31_1001 385,2017,2018 31_0245 385,2018
2017 07_0001C 378_S,2017,2018 07_0001C 378_S,2018
2017 25_0139 161,2017,2018 25_0139 161,2018
2017 01_0008 364_L5,2017,2018 01_0008 364_L5,2018
2017 25_0115 177_LR,2017,2018 25_0115 177_LR,2018
2017 31_1001 208-1868_S,2017,2018 31_0246 208_S,2018
2017 01_0017 260,2017,2018 01_0017 260,2018
2018 26_0035 204,2018,2019 26_0035 204,2019
2017 27_1001 407,2017,2018 27_0234 407,2018
2017 10_0057 278,2017,2018 10_0057 278,2018
